                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.6692,                 1.6973,                 1.6569,                0.50955,                 0.4049,                0.41473,                0.22743,                 1.6227,                 1.5742,                 1.5717,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.6996,                 1.7444,                 1.6755,                0.51719,                0.39295,                0.41069,                0.22502,                 1.6414,                   1.61,                 1.5926,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.6827,                 1.7116,                 1.6701,                0.55249,                0.41644,                0.43377,                0.23519,                 1.6245,                 1.5495,                 1.5723,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.6948,                 1.6956,                 1.6311,                0.53047,                0.40676,                0.42163,                 0.2271,                 1.6427,                 1.6286,                 1.5883,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.6606,                 1.7031,                 1.6422,                0.54696,                0.41376,                 0.4383,                0.23555,                 1.6096,                 1.6593,                 1.5664,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.6706,                 1.6952,                 1.6422,                0.52609,                0.41315,                0.42168,                0.22733,                 1.6486,                 1.5694,                 1.5934,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.6697,                 1.6591,                 1.6093,                0.52822,                0.41228,                0.42601,                0.23247,                 1.6143,                 1.5533,                 1.5674,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.6725,                 1.6647,                 1.6349,                0.53483,                0.41583,                0.42831,                0.22987,                  1.622,                 1.5722,                 1.5739,              0.0010298,              0.0010298,              0.0010298
                    100,                  1.656,                  1.677,                 1.6271,                0.54556,                 0.4251,                0.44998,                0.24473,                 1.6041,                 1.5127,                 1.5547,              0.0010199,              0.0010199,              0.0010199
                    101,                  1.664,                 1.6652,                 1.6388,                0.51365,                0.42654,                  0.428,                0.22703,                 1.6198,                 1.6486,                 1.5448,                0.00101,                0.00101,                0.00101
                    102,                 1.6425,                 1.6539,                 1.6399,                0.56142,                0.42651,                0.45574,                 0.2489,                 1.6121,                 1.5021,                 1.5583,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.6228,                 1.6402,                 1.6352,                0.52054,                0.42345,                0.43908,                0.24559,                 1.5934,                 1.5155,                 1.5669,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.6302,                 1.6489,                 1.6399,                0.57527,                0.42059,                0.45695,                0.24958,                 1.6016,                 1.4823,                   1.55,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.6258,                 1.5969,                 1.6185,                0.53136,                0.42572,                  0.439,                0.23013,                 1.6202,                 1.5392,                 1.5392,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.6535,                  1.643,                 1.6342,                0.57147,                0.41191,                0.45578,                0.25006,                 1.5974,                 1.5601,                 1.5393,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.6219,                 1.6164,                 1.6065,                0.55475,                0.43416,                0.46493,                0.25357,                 1.5969,                 1.5024,                  1.542,              0.0009506,              0.0009506,              0.0009506
                    108,                  1.606,                 1.6513,                  1.637,                  0.552,                0.41866,                0.44527,                0.24545,                  1.595,                 1.5384,                 1.5513,              0.0009407,              0.0009407,              0.0009407
